epix_address,balance
epix1jaw0pfutjgz5t3pkzws6k58u29u2flqv6mt32c,272982.51877545
epix10y2jd8mcveelz27kc3jdyggndlgg9nqg2te8ts,19599.57018358
epix1marvg095283tnkta9p2x5patck93dlm6e6aqwu,1676.30235300
epix1eznqnlsqda43kj022qkp4enw8486srw53e2ldq,9908.44064100
epix1fu9eq5qzlemrmjw0c3vrq37yxmv8hut8t98jxf,14481.64284431
epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6,87404.59233119
epix1mrdzx6ecv45y5crz2xxxzx6dthz56m0t9mee5c,22427.51158019
epix1q0px6h3zcrv4pq5peh7dsk2dmdggasehznpccm,35872.87060315
epix1a54e5t0x7rqyj78wp5ra272z8v8uaa263x5jfs,187.73417686
epix1d9768xl5u84ejex57x9lhagg3paakp5eynzs0x,3900.18029759
epix1dz76dqr6mzqve7cyax8q8jgnr9klm8p3lqw5pl,19887.84390506
epix1qpggj3adws5p3f97u2frnf9zh83gyws3mlljah,21755.43365064
epix1ggsmk2fjjw476k0urxd3g4et67f267eknsd076,3167.85573400
epix1mkum8hhzk2v85nnljc88hxxga5muvwlseryvaq,16773.58276217
epix1uv8py5rxvgqkxcpvrtqxusmn34v32amtdmz75x,20536.13360971
epix1fchavq74lnxt72he263s9367t3n04fuzu8q347,1807.90294966
epix1n4m2qt02z7hwqqsj0pllsqcc4np9c423glkcyd,22721.70037661
epix17jtzy4j5dzq225r8m96vd386n4jgewp82ql24x,20101.68169619
epix1s2dh6edze04sldk06ukmz6whzdpj3ghgquzckr,1791.52224391
epix1p4nhs45alrmmmkgz6yv6h2cs0m89ulvp352a00,20934.31777740
epix1v8wyvccvchd638cd4rh4c0p4q2ru6kmxx9yrw4,5602.11772967
epix1m2gns704fhe2vx9e9r6aqluwsp7zg5zmd6kafc,17575.69977310
epix1ayyrjhr5d865k7qt0w38pqs4pwk3k7luw9qppr,14685.86725397
epix1sulswqvrzy63489p4ltclgavn5cu9kgkwrtqf7,22748.31478372
epix1pym5fadujngxnfw9s98nxspyzdve9kvlyw655h,20758.19058968
epix1heun4fq6kcfk49y3urgxwfxeke8espd9rq8xy3,17766.42558984
epix1n5w20ycluew5zz2jrzxta4nfenu340u5tc2anv,20445.15897568
epix1e492te60hthjj6p0dpjqggq9trljaunj9d73vj,20583.22038643
epix193vf2h9nzt7akhq42qv8p0fqxkkac3ut2daerd,18433.97541157
epix173rpuaruvnz8ksv7m6xgkdhuya3960f7qk9k5s,1514.43316455
epix1vjuew9nc4nu9fkg7tncvsfelfyy63w6stkz2xc,14424.03260149
epix1787sc2cmxad4sjm00s3jx0mgcjujfuhuaeky7f,21520.58930214
epix1np8xh0a2j5rdm8gdjk7vn6ngc46984u8gp4ffz,3894.22214243
epix1javwveqmfgduwpvm9cxsyvr6npmt5w6yzpp8kn,7813.87831933
epix1dzsgznqhnqrhpsrjzj7xvjdxaukz7uahclyj55,18894.21043943
epix19gtmgvs2v8lqw4egefezpt5934qpmmr48p6vnv,22333.53145136
epix1p9s83lhjjhujrw4ncvp0w8yyrxsn9prfvasek5,7540.53618165
epix1htf4fnl5lf4slmp52pjasx8y048wy8regfptyj,16897.16364110
epix16hxgjscaypagke3q03h6g3jszpwafc9c7fgu3w,17685.61001519
epix1n8at58cqf77937fzqw0em7fa5mu4mws9w8sqj2,3984.48709648
epix1p9z4tz0ehgqtp4umw8le4w0euatjkstpltfcsh,21500.14266408
epix1rfqu6yp4wyd9pn5lqk3grxx0kfuttskuzymq7p,10016.58087972
epix12slphzsdhf4zu6mxwzjhdgvn6au94v9sezau23,19621.07157369
epix1aqxzytfe082c2ecrsd825qntejaajd2t7t7e3f,19890.56282861
epix1dwj30lu3vuwzkr9pkjaku6q97hm2pl06n6fjs0,1813.89369778
epix18gkkh3dsy35zwfw3dwute6px8w9dzj59phvsyp,21471.78225636
epix15ele5jtk3z72prz6lkz6uqk0c89j2v57c0ucqa,22607.86188062
epix19fv0xqx8yh7gdsw9cxawcc0gwl602pkx7e5v04,9652.53203728
epix1ff083apgzh35kk6p4ydt7662u3k4tr6d7hhjhw,14136.90267984
epix18x708nkq3tnuwfdu3kuftkz3lgg88frns7vlm5,22381.53840842
epix17wmnqe8gmslkee2up4rzle0mjkvs5xnvtzs8zf,20763.49074270
epix1876e20yv5jn86ynpazuj22v36fflncpjw20f8n,22102.19580171
epix1xuv0qd3pn7k6j2hu4p88c4w2mf8xag6f0d8ah5,21211.54992916
epix14jq9ly9q8ewwu49hm8hkxd3m8548y7qrsyp0ru,18664.70494415
epix16az7mnsen9yy5c4pty5qfdlehlpqehjzkemw33,5646.91007093
epix1syw3mjezlpf6uzm0vh8an054exdhap5v4k0xrl,16591.44735363
epix1jvzee79rsx2h4sdeg2hsyjfcsk4urnqz07k5tg,1709.25016841
epix1227dpxm6n9vvx743afc92zshq0dgn9lyk5cufh,20353.94349310
epix10uu6sgca9fmwaaz60gw079y5l5rmntrphv2cut,22667.01370533
epix1de35fr0h4uw7unmuvjne54zqp9udjmwpgj4686,16845.45504799
epix1jme5ruwgd3m9s3emaln56f38d6k5ka75s2ft66,16385.46117953
epix10r7lkf5eru0wnj839dl0rf2dnuh3jdksvsd4t3,20261.63992637
epix1tqpl5q9x8xsna6epp2h8zy7f4nfncnwu4z4vla,5848.97764438
epix1h0ewx9sz8z0wluqyz4lazjn56v8lde7pu2psz9,12056.99874818
epix1p7k6c8vlafyc86y2dtc7cru9ntvr92muguk06k,19392.96899077
epix1309n6jtdgqm7y8dtg6c3f8uq84ru2z7l8ch0xl,20939.55402088
epix1utvwc0zw40jhwa6dqtwmgt2gumaytz2ye2hrv2,18282.39844067
epix18dr6f90g3yptqnnkf6y0za9r8frv9ykv6maky2,17161.55996204
epix1z0lur0dr0e72duj7w58sqce8e2fewdsr736cnk,21864.47756368
epix1j5cf9qws9arx52hez8pvzwxt8kk5573a6y4745,1824.21674468
epix16frfuwsh0teec32r5jefj3rx0qh9fxf6g3rttc,22531.81906101
epix1de8z73wuww2dxjnt76mv6tm2n4wn0xssl5sczx,23347.92588762
epix10587a6nv6x6m0xyn76w27avwzng50lw85m9hu6,20744.28758549
epix1ad2jdur7pgnwwtz0q8vqhjkh9uc7dw8qcwha3h,21723.58818218
epix1xcdzapnymxcme33ddlfzl8amp386x0lgl7wrwr,20205.61573479
epix13lm5a997u6akcmketvaddpxd6fgu5cqdxgghjh,21749.90781234
epix1rlz6x6ajjdjf8zucks6w33az4pdjygpukyplnn,3656.86332889
epix1fr2x3gw4xur7mcvtgxf9q6fym97ycn7ths9def,21810.58706986
epix1sfa4w0mquyxpu309y6yep5yny2p40t7w4yqu9c,17467.63223161
epix14q4cawxeac4dcycmxkwrk078gnx0f5a4zgyejj,1820.10312401
epix1p7n3qvcztwmxevzyglrmt0qmq4yj797stsdktw,23198.03943420
epix14z6mxf67g9kgjtuqghhh8qu9cpslcjv58jwp7y,17454.21476901
epix1f9kj99ntp3a2uy2f4u4ns3jceuk8xgrwg9m03q,21276.69320034
epix1x5xtnqedyuk70c5tnh05ucrracmw2zg4wjzkpy,20211.72869299
epix134q4ylx7m4vd77fz75eq8xwrdqffzwtm4n3sp7,3544.24014694
epix1435ql43chh69s7drm9usgsu7zl4un7cwwvc5m9,21399.09168032
epix17cyav8mg58x0pyssr2tj43wd599fyxau5czrjw,18719.57925143
epix1s5ufw0rtkcjr5n5c6xtv8lgf42fxzwxcz6q079,14764.68962921
epix1rvgyw8gjdd5cs2eulqe8zpw7m9slrz8l0zy5nl,19359.60538171
epix1glep40kew0vfc7dlgw9r49wf7dvvr5a3qn8tlm,21955.10622963
epix15nwxq4lmzefu40adqclm5ywtz2mjrv5d9fc226,16037.64679443
epix1lgn2qkwuq08wx5vu8vjghkg5a4lyltwx6gtux5,23231.98732952
epix1hy0frh7hevmq95zxl87ph46cweveyst8x7uy6f,18044.89588604
epix1pgws545ghm6g4nfp0pvpccjjdjee3u8z8w03h5,12334.77635781
epix1pzhntlp9anqrn60jkkfl8qtwa6ngk6ryls5l2s,17409.64330129
epix1lw4rp3djsg3rcnq69vmje7a0578hzu92cvxm6e,21362.20135927
epix1uxs90trt4aeqye6dzt53979g9jm9cy58xspz5g,17422.69715760
epix1q4nhfvg2dhs995wzutyjlq943j0aja2c04llkh,18859.57239632
epix1pfnsa6h3f828r8llgtvyj2smed5ckf0lq6v87f,22367.55716365
epix1fexhw5xwfyu460arzfmd0mg0cll9gnh9t859ru,18569.27992593
epix1ngzna3lkyuyjluqhufzud7kx489u0d25u7ax3q,3856.27514739
epix1tv9x7xz4ss9fu589gw8jaj6kpwkk68sf9dmpu0,5743.70854650
epix1rhwehpd38rftnuc2wuxtwknvl9un0m9dp3cu9y,20840.00970712
epix1s3n3072kjey8qx0dpe4m4lu4ckdh253pm5urgk,19577.24563985
epix1und7qet67h3nzyrhy5wva65m7wtvv5cdf6tdze,18031.17931296
epix12dlffdthum8v6nayk9qzyua4v5k70n56rrr8pl,23452.89414796
epix1ndz3f6elwsj9jl5cfe3hkvfptcfy99l5h22th3,1837.47354047
epix1e0ymauwnrjnkwa0yl6y5d93qkejd3xl6uyw4ph,17306.64653629
epix1m236g3nyaxuhh2w3xs77jt6qmdfxlwnh28wvuq,7982.71828190
epix1jjggzpthgjxzwcuq7tskjpgkektxa742elpjc7,22903.77270348
epix12dceqfx9cdyj2vahs2amtwxskeur0llg52dh80,1866.06262482
epix1ntwyvxfqez4whkjyp6hqzlef36q2j4lu605d0r,21042.14363537
epix142kker4d2lusx22rzm7aa0pvft42tx3t4ek6nh,19885.69027464
epix19h5sxmrf5l692k7yz09wky4rupy7znckm5l64m,21932.13642272
epix12l80kck745fttskuke0tfp8dcekzczfepqkjsg,17592.69786051
epix1dkjwxev7fehfctgym4zhjfdggyrc2dey9ehvne,19731.07748273
epix1gc6j9q7ydeevsmzqr08kru0ucrfvgs758fhqrw,3939.53708831
epix1l6hxfvs97hdtsuxsamt2py3ahwwkh2md2amc7d,21068.35391990
epix1eel759ecdd7y625geeetdx4py3xccldnnp7s47,23300.63364332
epix1edtzmjnecard8uwzjg98td4w0dqdw26zlf3fkq,1866.94775829
epix1gl87unmdqq0f6s430t9xjd5zuc0n2gegzcw60n,18274.46003572
epix1jd3mlzkprl4naehhgqr4gxkt0usa9sa7ca0vly,17211.86964579
epix1at5hdxfxdf72xk7lrspq6dd5d0cqy5edmme0jn,18873.17047909
epix1dc724qafgz5s8dup4kjm6qnj6cyr9xrka98x5h,22091.21524609
epix1upsxlgxm0fs22xexry2ghyncsn9q3pdtu7ztx7,21896.85227448
epix10749wnh4vcghxjvpuvmjkul4gm7q3hk8vef9j3,18695.61009863
epix1y6v40k2k7ky207f28d2f3eqwxsclfwelpuqrw5,21738.54694171
epix1ff4sx24wzxnfnra8rc3c6gmucdf8yy6cz9q43v,20639.30029855
epix120m4tkeh78cfy7nphdvc5kqtkpx9fvkd0g3hwp,1687.97396445
epix1g0urymru4rvflzpwxg2q8gh4wnwp2vs94dyxjq,20463.30349641
epix1djxj3zew5f03ng0yj5ns7h3nku8fsyn4adkemh,17241.82567558
epix1qzmrnsjtrx443w6pauen23wkfqysmp6vx3ltng,17507.82499216
epix13l6fst34vhdg0n7ma7clc52pktyadnxpwsy88k,20667.03595394
epix10h9zla6vhcjf5pn0dg6s58830vu3jxjujehwhy,17151.93134178
epix1upjhk0e4cqrltzgpujkaetlraxxxvy26c90prc,5809.03366062
epix1jngtdxregxh6k0ge62n9g92ud8xefq5wa6ufw7,3838.33999820
epix1y6d3q0y7y6yxuzm0hz672qf2y3zvpuvmhfml9p,20950.39809702
epix1789c8jk4ey3sl9f60j2ddk6cwxk6pc54s7all6,5839.11857694
epix16zglyx7qv9x46x2aep9qkumrf0ykrck0qkjzhy,17387.76659972
epix1uzspne7vfzluuq6206xylj4fktz4v75aw09pz3,20098.37140294
epix1n5z07cpdj4gx7tq5pym8p7cak4cl3l9zlvxxvn,20091.28468501
epix1nyrg750qm3jc7u9qcxte4hverd3qz27uqh6cd0,19795.85840754
epix1vgrvuqu29cn2ye3nuvmly2mtga724hp3ekdwpj,17780.15719213
epix17acllns84veuqf29sshe88c9kjjkl6plnz3mu7,3822.40867059
epix1avjpnk3pmkvnxwvht5ttkd3dmplfn9hft7stgh,3819.33702704
epix150wex5csx2kvhmp8s3yya4arlm7rkpumjzcsa6,22748.92052352
epix1jz4q5lyy5yvap6jcm45asx7h4fwzhawzflkyag,16214.91778346
epix1jgjnwmggx4anepn9jnj0luk2ud3ss5ugdvsv2a,17371.79718758
epix1zs3he2vf5mcl62ceej84cw7jv7tcz5zsghqmpt,5927.79472217
epix1yqz45w5c4vm8zgtlphf5l30d08jk434l6l76hh,21082.49644620
epix1ey553wfg2xruzq4sayd9wlqyafy9kahzgsd6pr,325.30223880
epix1c4chxnn48mzu2m73lgdxyt3cgsmaldrklvdjdt,7059.80024288
epix1249apkh8h4an55szpcm5gpz8wplac3j7mnkk5w,76692.74471783
epix1nac9seck74qgghg78rzluxv33wuq64nlt60yj7,34107.50134730
epix1un84fl7uss65szqa2amn6cssprqwvc999mw0j9,5363.57115461
epix10gu7ayusxaqtnkd9e28y6n3wq5dm7tc9mfa6eu,24457.99162771
epix12nd40dwreyl84tcpv8t53n7uva9rnwm6hq5ygs,47519.42857418
epix18a6hh5n4mpxjvkfh9khs8nwr8ttrd3sk7vhd9t,33897.82934572
epix1aezh664ph36ryqkk85r3hnuj8nsjyzujzslj0a,18838.93752630
epix18h63mrpp3yeackt0t3pqt8uyh6mlnf9p7jpaq5,444002.11036887
epix1zaewdesj75czagec2p89k3qss6h3dxy3j0djj8,379949.41594454
epix17d06xtttq98ccghkl093n6ak680vamker9f5r2,20840.68323538
epix1tleyqh07trj5sv27kvxj5fw40pvxz207qttyvc,2882.49805079
epix1z9zmm2kqcp3vtq5zfasjlsep4d3almazz8mxzv,1.73565673
epix1vd0fmqsenp4s4ykcxghj2q5c7g572hkyt5wptg,858.80809580
epix1mp5sac28l34au5c8u03pzqxxz97l8zr2n8wr8t,723.66986452
epix1rxupq9pc6d79nv3wsnjmplqcevkuh6kj74nssv,169.55180827
epix1k5seqkmfakhvtednz4pqseswtmlsvl3wc55h34,1122.56584224
epix1g4hkcmtrj3jxp74yr8vtmhfn9pva3ux0dvj9g3,957.22272010
epix14xgzq45vc8wadxfx649g9pwhsuw4xa6vk25qef,1017.75118725
epix153jt8r0vp2w04qe8zdv6h62gxx8fk3uzrjqcsc,32777.42143817
epix1mfv5vtjnevc3nqcrsn7v257vstddqtdk0hqk75,297951.12530865
epix1n74w5r3r9g9ap9tgzl843z0vuf9nrjhm5q7cpy,796995.91606742
epix18eqnu246knhz4udfd5ud0ryz6xnd7fvp3syps4,296466.51891780
epix1s89j4wqr739m7vnv7kpug72f3xpzdfgfxq5y0j,51.45086430
epix1tu8vnafhrrqj776k27czkpgfwmqv0n7sqendkf,0.82985265
epix1ka5nmpxj384zksgpe6l6geduf4sged0v5fjrp8,2.48955795
epix1z9afgqgzyvfly0tnupwygs3jl00k802wulyvvc,26532.69789686
epix166qh9f57fcyaqtz80jwj84lt9xvxdqu8u57rcj,224669.92667470
epix192gdwypp58f46ua3uugzxx9mpwjtd62wun4am6,44913.28512330
epix1eyp44l3syhypyr5wsgxcj3jxppp86zm8slutjh,44956.43746110
epix16w4d808dv3xdd9yw0qv72hnvdkg2x9xxg7d2p8,44908.30600740
epix148lvwkdc8v5n330wu74j5htezq5mn9cyyz9m6d,15702.26438013
epix17jmahye5dghh0ve2w9szafz085lpuzcsrqk8y2,26917.10055540
epix1e3ywv6kcasuh35cp7p64xdljars45ywp6v0ndd,26956.93348260
epix1rm7t4erl5sz6uj70prt7tg27vh0pes9flgw609,15798.52728753
epix1a4r37vh4saf3vxvu26kdug4uc738080z6lmwka,445610.95658640
epix1jt8jgu4jmqevu3ks9x7zsmae7284v7fkauxxwp,169859.21951790
epix1wf798updnvdca8u4zxjh4c0gc3wtnev9hjmkh7,132451.48482173
epix12y0jfks3lw68m6rd3nkkpu7pv4wwda9pn9mmll,148234.76356682
epix12395cyxstf4yrrvw08c9kpugmgs63nehgj0wgx,104944.20343481
epix1ns4kkslamsyf0r8sf93l4e8j6rehe302etwkxv,65179.47982209
epix1n3q38u6xenfank44zc08ky7a4mmgpgr8n705kk,141641.06560467
epix17nhmsz4yw44zw7nx5zty6a9fyr25xxp8mxtk2z,62851.48373728
epix12qrv0w9rfqxy6vcr6xxmpwpq786r2a6mxdxgkh,47940.58759050
epix15t7ruz25ju347k7lfhrl7eg4d6s9vgzwgqny2d,67249.18412437
epix178l7xm7tvd74ztv7wzyxcc9wda3favj989z0zn,2157.61689000
epix13m3d5llvh7jsf8n9swcql0srp5tcpjlfzfxu3a,2075.46147765
epix1snmgvph50wtlammnlluuchmv0ex39zzfeg2rue,2082.93015150
epix1ufd4we0jc949rxreeqx2k26t7xz6vfm5ylkrf0,2082.93015150
epix1h2ze567fskevkw3nfscfa5re4x2324fufz00gr,2082.93015150
epix1j34jz9xu6e3mh6qzh4pcnqgkvt54jp76u2r99j,2074.63162500
epix14px70yk58m33n0nd65s6nzng5ce27zjwkxjtws,2074.63162500
epix1st25q23c4n85a0fr0fpwp7nmr3pl2ke6qkw4ky,2074.63162500
epix1gf82cpm4vq5z2hxup5qtum9rwm7zznryn2rsvs,2074.63162500
epix1warh9mm96fqv0ze52x5kyxn7mm6vpj0hwdgfza,2074.63162500
epix1g3568mc0qfsx23mm00y5pkayxuv9jxgjhwg9hh,2074.63162500
epix15qq47apnvscrmmf49g2h2a5aehd0wcs3vukc3t,2074.63162500
epix1pn00t8ss748c8skemege04p7fts22jssy7h2eg,777.76469701
epix1064gwcnjcdrj0knqxr7kxu9rswmznddqxr8vc8,0.82985265
epix1w6n8zcxjdvjj6f62ytm5dvz5pqxr90qpw33ant,35.24636467
epix17fnujvcquj2qjqzvtjzeej0y4vm470et5q4zma,0.72601727
epix19krjhdwrvw0w04ems7dyz8mk8t7g7x937n3v3p,8.29852650
epix1s5d5h3l28xpkxhqn4wslstn9lls7zxxeaapr5z,4149.26325000
epix1mdl5zvn20h3s6w8aa8ss75u578mcr2g5pqxgww,4149.26325000
epix12ta0937gdkw9q66jfw6yl9r53gsxe4hfcad7ya,4149.26325000
epix18aqh8ynzywzpfqvhrt0c9j42sm4w899rmefxq9,162.65111940
epix18t0qy4ftmgssqatalmre7lun64h4sq44wfz8vg,295938.73263240
epix1jngqtljx0qg4cvc26lrgjzu73ejp3ch7aad62j,329880.59946625
epix1sqd8pr8vfpagr46j8flps4az8rqdxrdwwntlmq,271164.31161930
epix133geakf970n9ekfr8j6h68gaf08fj3srwl04lk,9571.23064943
epix1l3lce3czu6y72562yj9kxqlgnn4lfpfpqwawy2,297.29019289
epix1u3an8tv2n52xavn6ucdg0wa0qdxqlx8calzvhx,200240.95488705
epix1lcjavr9tfxnsg0dx4xu9a8erdzdutj3z5daxr5,1213426.31203035
epix1x0skmhahxz9js6l56v0u7zumhvx95ejcd606z5,35.20586999
epix1532q0up9dch52la0d3k34ke2m2gcj5sr6m7sen,102.07187595
epix1xfypuunnck4x7nzzyt6cvr0dq6gs0vcaqr9gky,266.38270065
epix1g3l5tp723ueuy5zhv69ss6m9xs262x5475ly62,18372.93767100
epix13e0uprdkpcx663n2a00r08nu6cdmr6xcn0lr6j,47658.43768950
epix19hh7yda53gvvdprkqrsw0xu766ppspy9ml7ws5,264505.57395570
epix1mrauk2206scmmuauwysn3emv9sm4zart75x86m,49505.84504170
epix17cygjnrcjewvu5ecrr3m7gsq5qxle0lk0fzsjm,210187.15382362
epix192p9m07aclj4qln38ym5rw5tw52z3lmc6e4cw6,127778.36430333
epix1h6m4k69pla063xghz0jlkeshczp0mraygfcyv9,260148.84754320
epix1g46np67sqsrxhssqdd55zuvcreyj0zq50ra5kf,264947.84175014
epix17rqev8c7n5errck4z5rm40w03nu5y3s2p3zhga,6490.04742979
epix1hhwnlwwd9kaychd2d0vz85etgqc3gj8gw5ds86,230491.30526413
epix1x48cf94h3240gf6futgtqp50k7zczeswd8qsyu,57341.16214279
epix1qpwrdm09tjveakega8rmluk2fs2f3awsdeyvve,54209.30280712
epix1vl8auezt2w3k65py7062gccfpw20q2mw7ylqeg,15419.52305362
epix1uw4gsx2yf2tps7aldl50h065vw2ppknfz7wlv2,33674.01953179
epix1k7rhggdcsdk0l5r8vpp0kd958jrfla7ntqgg9t,15379.51941270
epix17axwke8tsjs64akmnxj8hvdegn2v8e4904ge3p,46637.72722852
epix10lsfrk8zqxfga0vy7lw7qm05v3sec4ue28y84q,102157.78534758
epix1ctj9hwwsr5m2g2dqzhw0hnafqqsds4thxuqz93,513541.57915029
epix1n7g5hqnxjtujpe3pkxfhp42qx8szgamwelzk9a,74862.77064202